source_sheet,schluter_item,description,instock_sku,special_order_sku,schluter_item_norm,description_norm
Look-up,J125MBW/300,,101029098,,J125MBW/300,
3 Bay Set,,"RENO-T 17/32""-WIDE TRANSITION ALUM SATIN",951200299,951500727,,"RENO-T 17/32""-WIDE TRANSITION ALUM SATIN"
3 Bay Set,,"RENO-T 1""-WIDE TRANSITION ALUM SATIN NICKEL",100235266,951501351,,"RENO-T 1""-WIDE TRANSITION ALUM SATIN NICKEL"
3 Bay Set,,"RENO-U REDUCER 3/8"" ALUM ANTQ BRONZE",951200326,951501951,,"RENO-U REDUCER 3/8"" ALUM ANTQ BRONZE"
3 Bay Set,,"RENO-U REDUCER 3/8"" ALUM SATIN",951500205,951501089,,"RENO-U REDUCER 3/8"" ALUM SATIN"
3 Bay Set,,"RENO-TK REDUCER 3/8"" ALUM SATIN",951500189,951501175,,"RENO-TK REDUCER 3/8"" ALUM SATIN"
3 Bay Set,,"RENO-TK REDUCER 1/2"" ALUM SATIN",951500190,951501596,,"RENO-TK REDUCER 1/2"" ALUM SATIN"
3 Bay Set,,"SCHIENE EDGE TRIM 3/8"" STN STEEL",101126449,951502007,,"SCHIENE EDGE TRIM 3/8"" STN STEEL"
3 Bay Set,,"SCHIENE EDGE TRIM 1/2"" STN STEEL",101126456,951502023,,"SCHIENE EDGE TRIM 1/2"" STN STEEL"
3 Bay Set,,"SCHIENE EDGE TRIM 5/16"" ALUM",951200298,951500720,,"SCHIENE EDGE TRIM 5/16"" ALUM"
3 Bay Set,,"SCHIENE EDGE TRIM 3/8"" ALUM",951200300,951500729,,"SCHIENE EDGE TRIM 3/8"" ALUM"
3 Bay Set,,"SCHIENE EDGE TRIM 1/2"" ALUM",951200301,951500732,,"SCHIENE EDGE TRIM 1/2"" ALUM"
3 Bay Set,,"SCHIENE EDGE TRIM 1/4"" ALUM SATIN",100037944,951500829,,"SCHIENE EDGE TRIM 1/4"" ALUM SATIN"
3 Bay Set,,"SCHIENE EDGE TRIM 5/16"" ALUM SATIN",951500202,951500907,,"SCHIENE EDGE TRIM 5/16"" ALUM SATIN"
3 Bay Set,,"SCHIENE EDGE TRIM 3/8"" ALUM SATIN",951500219,951500950,,"SCHIENE EDGE TRIM 3/8"" ALUM SATIN"
